prompt,completion
if you're in extreme conditions like the snow with the beach it has a few presets where you can you can sell it now yeah I'm in this situation so it'll make some different choices some better choices for you but it can be fully automatic ### , Shopkeeper END
thank you for your time have a good afternoon ### , Shopkeeper END
can I ask what sort of pictures you take ### , Shopkeeper END
certainly it's a very nice this in your Canon 5d Mark 3 which gives you full credit control ### , Shopkeeper END
no it comes only in Black ### , Shopkeeper END
"The ISO on this one goes up to 6400, very useful for experienced users who need that range ### ", Shopkeeper END
That one costs 2000 dollars ### , Shopkeeper END
thank you for your time have a good afternoon ### , Shopkeeper END
"sure, this one is a mirrorless camera, it has automatic settings but you can also control the manual settings fully ### ", Shopkeeper END
"over here is automatic point and shoot, the problem with this and scuba diving is trying to focus especially to see his little cloudy that can be tricky ### ", Shopkeeper END
no the Sony doesn't have bulb mode ### , Shopkeeper END
The 9 preset modes on this camera will let you get the best shots of your pests both indoors and outdoors ### , Shopkeeper END
thanks for your time have a good afternoon ### , Shopkeeper END
what sort of pictures would you like to take ### , Shopkeeper END
"This is the sony, you'll get some really nice pics of your pets with this ### ", Shopkeeper END
It's got 179 autofocus point so you can pinpoint anything almost anywhere in your picture and follow it around and keep it in focus quite well its very responsive ### , Shopkeeper END
I have full manual control both for aperture and for focus too ### , Shopkeeper END
"This one has 179 autofocus points, useful for taking action shots while your pets are playing ### ", Shopkeeper END
thanks for your time come back and have a great afternoon ### , Shopkeeper END
I don't think you should drop it ### , Shopkeeper END
what sort of pictures would you like to take ### , Shopkeeper END
"This is the Sony, it has 179 autofocus points which will help you get great sports photos ### ", Shopkeeper END
it has 179 autofocus points so it's the perfect camera to take sports pictures ### , Shopkeeper END
thank you have good afternoon ### , Shopkeeper END
this is a mirrorless camera and also it has manual settings and automatic settings ### , Shopkeeper END
it's an excellent camera that gives you a lot of the features the professional cameras have at a much lower price ### , Shopkeeper END
"this particular camera is $550 but pick it up feel how light it is, it's around 470 grams ### ", Shopkeeper END
"This one has 9 preset modes, so you can experiment with them if you like during art class ### ", Shopkeeper END
"This one has up to 3200 ISO, which comes in handy for trying out different artistic effects ### ", Shopkeeper END
"this particular camera is $550 but pick it up feel how light it is, it's around 470 grams ### ", Shopkeeper END
"this particular camera is $550 but pick it up feel how light it is, it's around 470 grams ### ", Shopkeeper END
"this particular camera is $550 but pick it up feel how light it is, it's around 470 grams ### ", Shopkeeper END
thanks for your time if you have any other questions later on come back anytime thank you ### , Shopkeeper END
"I'm not sure how many megapixels the Sony have, we don't have information on that ### ", Shopkeeper END
the picture quality from this camera is excellent option for most photos it is as good as the top-end camera ### , Shopkeeper END
no we have red black silver purple and pink ### , Shopkeeper END
For mirrorless camera that comes with manual and also automatic settings ### , Shopkeeper END
"it's a different idea to the DSLR, so with the DSLR contains a lot of mechanism around the internal glass with a pint of prism and a mirror this does away with all of that so pick it up and feel how light it is ### ", Shopkeeper END
The sony can take pics with exposures up to 30 seconds ### , Shopkeeper END
we have two cameras that have pretty good in low light one camera can do anything you want on the other camera that has some limits ### , Shopkeeper END
can I ask what sort of pictures you like to take ### , Shopkeeper END
"over here this particular nikon Coolpix is designed to be the next step up from your mobile phone camera, it's fully automatic point and shoot, it's great for pictures with family friends, and you can take some nice travel pictures with it too, it's a great first camera ### ", Shopkeeper END
this camera weighs 120 grams  ### , Shopkeeper END
it has 18 preset modes 12 glamour retouch my roots and it's point and shoot ### , Shopkeeper END
thanks your time ### , Shopkeeper END
how can I help you ### , Shopkeeper END
can I ask what sort of pictures you like to take ### , Shopkeeper END
Yes we do have this nikon camera it's a point and shoot camera just for everyday use ### , Shopkeeper END
"it also has 18 different modes where you can tell it what sort of conditions you are in, just to help me lift the picture quality a little further, if you are at The beach or the snow, it can work out some special settings to make that picture that better ### ", Shopkeeper END
"this is a point and shoot camera it's great for parties, dinners, family, going to the beach and some basic travel shots, but it's got much better bit picture quality than a mobile phone ### ", Shopkeeper END
thank you have a good afternoon ### , Shopkeeper END
"the nikon over here is fantastic, it's actually the next step up from your mobile phone camera so if you're used to using that, it's direct competition now, picture quality is a lot better there's no lag when you push the shuttered, it happen straight away please pick it up and take some pictures ### ", Shopkeeper END
it takes great pictures everything is fully automatic if you want to you can choose some mode that will help with the color or help it look a little better in different situations ### , Shopkeeper END
family pictures portraits scenery ### , Shopkeeper END
"It has 12 glamour retouch effects for skin softening, head shrinking, eye enlargement, and that sort of thing ### ", Shopkeeper END
"It has 12 glamour retouch effects for skin softening, head shrinking, eye enlargement, and that sort of thing ### ", Shopkeeper END
thank you have a good afternoon ### , Shopkeeper END
please call me at the service counter if you need any more help ### , Shopkeeper END
just here you'll see me 5 times optical zoom ### , Shopkeeper END
can I ask what sort of picture you take ### , Shopkeeper END
"This is the Sony, it has 179 autofocus points which will help you get great sports photos ### ", Shopkeeper END
"it's a different idea to the DSLR, so with the DSLR contains a lot of mechanism around the internal glass with a pint of prism and a mirror this does away with all of that so pick it up and feel how light it is ### ", Shopkeeper END
thanks for your time have a good afternoon ### , Shopkeeper END
please let me know if you need any more help thank you ### , Shopkeeper END
this one cost $68 ### , Shopkeeper END
I'm afraid so ### , Shopkeeper END
can I ask what sort of pictures you take ### , Shopkeeper END
"this is the Sony Alpha a6000, it's fairly light for a camera that takes such good pictures, that's around about half a kilogram, please pick it up and see how you how it feels in the hand ### ", Shopkeeper END
"The sony has 13 artistic effects, such as toy camera and soft focus ### ", Shopkeeper END
"This is a great camera, it's a lot of manual settings, but you can also use it on full automatic, so the idea of the preset modes is if you're in extreme environment something different or doing something special, like a portrait, you can tell the camera that and it will automatically choose the best settings for that situation ### ", Shopkeeper END
thank you for coming ### , Shopkeeper END
"if he like to take pictures his family and friends, this is point and shoot fully automatically, we can go through all the menus with you here to make sure it's absolutely certain, it's simple operation ### ", Shopkeeper END
"I'm afraid not, none of our cameras come in green ### ", Shopkeeper END
I am not sure about that we don't have any information about that ### , Shopkeeper END
"this is a point and shoot camera it's great for parties, dinners, family, going to the beach and some basic travel shots, but it's got much better bit picture quality than a mobile phone ### ", Shopkeeper END
okay thanks for your time we will organise that and have a good afternoon ### , Shopkeeper END
good afternoon how can I help ### , Shopkeeper END
can I ask for sort of pictures you take? ### , Shopkeeper END
okay this is a top end professional camera it will do everything you could possibly want to do creatively but the body alone is $2000 and then you have to buy lenses ### , Shopkeeper END
"the iso is very high, it goes up to 6400 ISO with very little noise and also it has up to 30 seconds of exposure ### ", Shopkeeper END
we don't have any information about that ### , Shopkeeper END
"the sony a6000 takes beautiful pictures it's actually kind of what we call a prosumer camera so it takes pictures almost as good as a high end camera and gives you some manual control, quite a lot of mental control over the pictures you are taking, so if you want to learn more about photography, you can see what happens you can play with your shutter speed you, your iris, your depth of field, all those technicalities, or you can swap it across to full automatic mode if you want ### ", Shopkeeper END
You can leave the shutter open for up to 30 seconds ### , Shopkeeper END
This one has 179 autofocus points ### , Shopkeeper END
The ISO can be set up to 3200 ### , Shopkeeper END
thanks for your time have a great afternoon ### , Shopkeeper END
"I can show you this one, this camera has automatic settings and manual settings and it costs $550 ### ", Shopkeeper END
yes it has 13  artistic effect ### , Shopkeeper END
It comes in 3 colors silver white and black ### , Shopkeeper END
yes it comes in silver white and black ### , Shopkeeper END
"this one is a mirrorless camera and you can set the settings manually but it also comes in preset mode, it has a crop sensor and a quite high ISO ### ", Shopkeeper END
"it's a different idea to the DSLR, so with the DSLR contains a lot of mechanism around the internal glass with a pint of prism and a mirror this does away with all of that so pick it up and feel how light it is ### ", Shopkeeper END
"it has some artistic effects built in such as soft focus, toy camera, black and white, some of those things you are used to seeing in mobile phone apps ### ", Shopkeeper END
thanks for your time have a great afternoon ### , Shopkeeper END
What sort of pictures do you like to take ### , Shopkeeper END
"please come have a look at this camera over here, this is an excellent quality point and shoot camera 20 megapixel pictures so you can blow them up as big posters on your wall and they still look great ### ", Shopkeeper END
this one cost $68 ### , Shopkeeper END
"This one has 18 preset modes, for the beach, snow, or night portraits, which makes it useful for everyday situations ### ", Shopkeeper END
yes it comes with preset mode so it would adjust the settings for you ### , Shopkeeper END
"the sony a6000 takes beautiful pictures it's actually kind of what we call a prosumer camera so it takes pictures almost as good as a high end camera and gives you some manual control, quite a lot of mental control over the pictures you are taking, so if you want to learn more about photography, you can see what happens you can play with your shutter speed you, your iris, your depth of field, all those technicalities, or you can swap it across to full automatic mode if you want ### ", Shopkeeper END
"This one has 13 artistic effects, like toy camera and soft focus, which will let you spice up your everyday photos ### ", Shopkeeper END
thank you for coming ### , Shopkeeper END
how can I help you ### , Shopkeeper END
this is definitely the cheapest camera the Canon over here it's top end professional camera so it's $2000 without a lens ### , Shopkeeper END
I'm afraid so ### , Shopkeeper END
"This one has 12 glamour retouch effects, if you want to touch up some of your pics of family or friends ### ", Shopkeeper END
"This one has 12 glamour retouch effects, if you want to touch up some of your pics of family or friends ### ", Shopkeeper END
thank you for your time I'll see you tomorrow ### , Shopkeeper END
good afternoon ### , Shopkeeper END
"yes we also have the sony camera, Although this one doesn't have a full frame camera it has a preset mode but if you're looking at learning photography then you can have also manual control ### ", Shopkeeper END
"This one has up to 3200 ISO, which comes in handy for trying out different artistic effects ### ", Shopkeeper END
thank you so much ### , Shopkeeper END
this camera body is $2000 this is without a lens which would cost extra ### , Shopkeeper END
It's a digital SLR camera ### , Shopkeeper END
can I ask what sort of pictures you'd like to take ### , Shopkeeper END
"This is the nikon, it's ideal for taking simple everyday photos ### ", Shopkeeper END
this camera cost $68 ### , Shopkeeper END
This one will take very high quality photos in everyday situations ### , Shopkeeper END
this has 20.1 megapixels ### , Shopkeeper END
This camera is very easy to use. Just choose a preset mode and point and shoot ### , Shopkeeper END
"This one has 12 glamour retouch effects such as skin softening and eye enlargement, if you want to touch up your pics or just have some fun ### ", Shopkeeper END
this one is 20.1 megapixels ### , Shopkeeper END
this one comes in 5 different colors red purple pink black silver ### , Shopkeeper END
thank you for your time have a good afternoon ### , Shopkeeper END
do you have any question ### , Shopkeeper END
I'm not really sure about that ### , Shopkeeper END
"the sony a6000 takes beautiful pictures it's actually kind of what we call a prosumer camera so it takes pictures almost as good as a high end camera and gives you some manual control, quite a lot of mental control over the pictures you are taking, so if you want to learn more about photography, you can see what happens you can play with your shutter speed you, your iris, your depth of field, all those technicalities, or you can swap it across to full automatic mode if you want ### ", Shopkeeper END
It's a good camera for that ### , Shopkeeper END
The sony can take pics with exposures up to 30 seconds ### , Shopkeeper END
can I ask what sort of pictures you take ### , Shopkeeper END
"This is the nikon, it's ideal for taking simple everyday photos ### ", Shopkeeper END
yes we do we have 5 different colors black red purple pink and silver ### , Shopkeeper END
thanks a lot for your time look forward to seeing you again ### , Shopkeeper END
good afternoon how can I help ### , Shopkeeper END
The Canon is the highest performance camera we sell. Very popular with experts and professional photographers ### , Shopkeeper END
yes you have to know things about some knowledge of photographing to be able to use this camera ### , Shopkeeper END
this is a mirrorless camera and also it has manual settings and automatic settings ### , Shopkeeper END
"this has interchangeable lenses so there a lot of options for how you take with macro pictures, if he really wants to zoom in on insects or flowers or flower pots things like that if you want to get creative, choose the right lens use a magnifying filter this camera has those sorts of options ### ", Shopkeeper END
this one is a mirrorless camera so you can control the settings manually and also it has a preset mode for automatic settings ### , Shopkeeper END
thank you for coming ### , Shopkeeper END
good afternoon how can I help ### , Shopkeeper END
please let me know if you need any help ### , Shopkeeper END
it's only black ### , Shopkeeper END
can I ask what sort of pictures you take ### , Shopkeeper END
"this cameras is ideal for that, it's the next step up from a mobile phone camera, so it can take pictures in a point-and-shoot sort of easy way, but the quality is so much better ### ", Shopkeeper END
"this one is a point and shoot camera perfect for beginner user, you can just push the shutter button and you don't have to adjust anything it will auto adjust itself ### ", Shopkeeper END
thank you ### , Shopkeeper END
what sort of pictures do you like to take ### , Shopkeeper END
"I can show you this one, this camera has automatic settings and manual settings and it costs $550 ### ", Shopkeeper END
yes it can be that easy every time ### , Shopkeeper END
"perhaps you'd like this brochure that has specs on the sony, and this one that has specs on the Canon, I'm not saying the Canon is necessary good choice, but it gives you an idea of what's out there something a little interesting reading ### ", Shopkeeper END
This one y we have white silver and black ### , Shopkeeper END
of course and it also has artistic modes built into the camera so you can do a few tricks as well and then put it straight onto facebook from the camera ### , Shopkeeper END
"this has interchangeable lenses so there a lot of options for how you take with macro pictures, if he really wants to zoom in on insects or flowers or flower pots things like that if you want to get creative, choose the right lens use a magnifying filter this camera has those sorts of options ### ", Shopkeeper END
this one has an aps-c sensor or a crop sensor ### , Shopkeeper END
this is $550 ### , Shopkeeper END
The sony can take pics with exposures up to 30 seconds ### , Shopkeeper END
it comes in silver white and black ### , Shopkeeper END
it can follow an object moving in any direction 30 frame and keep adding focus ### , Shopkeeper END
It has an ISO of 3200 so depending on the night shooting in those circumstances you might find that you will be using the full 30 seconds from time to time ### , Shopkeeper END
it has 13 different artistic effect modes ### , Shopkeeper END
you can leave the camera on full automatic and it has 9 presets say if you're in a sunset or doing a portrait of standing in the snow and it will make the best choice for you for that setting ### , Shopkeeper END
thank you have a good afternoon ### , Shopkeeper END
good afternoon how can I help today ### , Shopkeeper END
this is a Sony Alpha a6000 it's a mirrorless camera and the shutter speed goes up to 30 seconds weighs around about half a kilogram so it's a little heavier because of all the componentry but it gives you some great artistic effect built in ### , Shopkeeper END
it comes in black white and silver ### , Shopkeeper END
"it's a different idea to the DSLR, so with the DSLR contains a lot of mechanism around the internal glass with a pint of prism and a mirror this does away with all of that so pick it up and feel how light it is ### ", Shopkeeper END
"this camera can do both, it's got a really good simple manual settings that you can set or you can set it up so it's basically point and shoot, it has beautiful pictures almost as good as a top end camera ### ", Shopkeeper END
"This one has 9 preset modes, so you can experiment with them if you like during art class ### ", Shopkeeper END
"This one has up to 3200 ISO, which comes in handy for trying out different artistic effects ### ", Shopkeeper END
it has 13 different artistic effect modes ### , Shopkeeper END
"for Facebook it has some modes in there you can tweak the look at the pictures, put some is artistic effects and upload it directly to Facebook through your computer ### ", Shopkeeper END
it comes in silver white and black ### , Shopkeeper END
"this particular camera is $550 but pick it up feel how light it is, it's around 470 grams ### ", Shopkeeper END
"this is a got a very sensitive sensors, it's around 3200 ISO which were the 30 second shutter speed gives you a lot of creative control but just not as much as a camera that cost four times more ### ", Shopkeeper END
It performs almost as well as the top end professional camera ### , Shopkeeper END
The sony can take pics with exposures up to 30 seconds ### , Shopkeeper END
fantastic thanks a lot ### , Shopkeeper END
good afternoon ### , Shopkeeper END
"we have a lot of different kinds of camera, something that respond to the way you like to take pictures, can I ask what sort of pictures you take? ### ", Shopkeeper END
"This is the Sony, it has 179 autofocus points which will help you get great sports photos ### ", Shopkeeper END
It's got 179 autofocus point so you can pinpoint anything almost anywhere in your picture and follow it around and keep it in focus quite well its very responsive ### , Shopkeeper END
you too thank you for your time ### , Shopkeeper END
good afternoon how can I help ### , Shopkeeper END
feel free to browse if you have any questions I'm here please feel free to ask ### , Shopkeeper END
yes but we don't have artistic effect but it has Beauty retouch ### , Shopkeeper END
thank you for your time have a good afternoon ### , Shopkeeper END
"if you go into the menu system you'll see something that comes out that says preset, then it'll say well I want to take a portrait a night time, I am at the beach, I'm in the snow, you tell it what's going on and what you're thinking, and it will choose the perfect setting for exactly what you want ### ", Shopkeeper END
"this is the Sony Alpha a6000, it's fairly light for a camera that takes such good pictures, that's around about half a kilogram, please pick it up and see how you how it feels in the hand ### ", Shopkeeper END
yes it does we have white silver and black ### , Shopkeeper END
It's a mirrorless camera ### , Shopkeeper END
thank you ### , Shopkeeper END
"yes we also have the sony camera, Although this one doesn't have a full frame camera it has a preset mode but if you're looking at learning photography then you can have also manual control ### ", Shopkeeper END
it has 9 different preset mode but you can also adjust the settings manually ### , Shopkeeper END
The ISO can be set up to 3200 ### , Shopkeeper END
thank you for coming ### , Shopkeeper END
good afternoon how can I help ### , Shopkeeper END
what sort of pictures would you like to take ### , Shopkeeper END
"This is the Sony, it has 179 autofocus points which will help you get great sports photos ### ", Shopkeeper END
well it cost $550 ### , Shopkeeper END
No it has quite a lot of preset settings but  you can also set them settings manually ### , Shopkeeper END
it weighs 470 grams ### , Shopkeeper END
"it has 9 preset modes that you can experiment with and depending on how you want to balance it out, you can access them through a menu system ### ", Shopkeeper END
It has 179 autofocus points ### , Shopkeeper END
for sport pictures it's better because it has 179 autofocus points so it's really good for taking moving objects ### , Shopkeeper END
thanks for dropping by ### , Shopkeeper END
is this a particular kind of gift do you know what to the pictures he likes to take ### , Shopkeeper END
this kind of camera over here is fantastic it's like the next step along for using your mobile phone ### , Shopkeeper END
This camera is very easy to use. Just choose a preset mode and point and shoot ### , Shopkeeper END
thank you so much ### , Shopkeeper END
This is the Sony it has several preset modes and manual settings which makes it ideal for taking outdoor photos ### , Shopkeeper END
This one also has full manual settings so you can fine tune for any outdoor conditions  ### , Shopkeeper END
"This one has 179 autofocus points, enabling you to take pictures of any quickly moving animals you see while taking photos outside ### ", Shopkeeper END
thanks your time ### , Shopkeeper END
"That camera is designed for travel to take fantastic pictures on a budget, but still really great almost top end pictures, this camera is the next step up from your mobile phone, it's got a optical instead of a digital zoom, so the pictures always have consistently good quality as a 20 megapixel sensor so you can get some nice prints, its only $68 ### ", Shopkeeper END
"This one has 18 preset modes, so it can take photos on the beach, in the snow, or at night, or any situation you find yourself in while traveling ### ", Shopkeeper END
thank you have a good afternoon ### , Shopkeeper END
hi ### , Shopkeeper END
What sort of pictures do you like to take ### , Shopkeeper END
this is the Sony Alpha a6000 it's designed to take pictures as good as a top-end camera price and in an easy way ### , Shopkeeper END
"it takes really good pictures almost as good as a top end professional camera but its been designs down to be a mirrorless camera so it's much lighter, pick it up and take a few pictures ### ", Shopkeeper END
We also have it in white black and red ### , Shopkeeper END
I'm not sure about that ### , Shopkeeper END
The ISO can be set up to 3200 ### , Shopkeeper END
"This one has 9 preset modes, including one for night time photography ### ", Shopkeeper END
This one has long exposure and high ISO so it will have good performance event at night ### , Shopkeeper END
it has 13 artistic effects built into the camera seems like vintage camera soft focus black and white ### , Shopkeeper END
it is fun it has 13 artistic effect modes such as toy camera black and white different illusion effect ### , Shopkeeper END
"The exposure on this one goes up to 30 seconds, which allows you to take pictures even in the late evening ### ", Shopkeeper END
thank you ### , Shopkeeper END
good afternoon how can I help ### , Shopkeeper END
this is the Sony Alpha a6000 it's designed to take pictures as good as a top-end camera price and in an easy way ### , Shopkeeper END
You can leave the shutter open for up to 30 seconds ### , Shopkeeper END
thanks for your time have a good afternoon before seeing you again ### , Shopkeeper END
"this camera is $68, it's fantastic with family and friends its like the next step up from your mobile phone fully point and shoot, please take a couple pictures with it ### ", Shopkeeper END
"perhaps you'd like this brochure that has specs on the sony, and this one that has specs on the Canon, I'm not saying the Canon is necessary good choice, but it gives you an idea of what's out there something a little interesting reading ### ", Shopkeeper END
"it also has 18 different modes where you can tell it what sort of conditions you are in, just to help me lift the picture quality a little further, if you are at The beach or the snow, it can work out some special settings to make that picture that better ### ", Shopkeeper END
"for this one everything's automatic, point-and-shoot, family and friends, you don't get that irritating lag you get with your phone, just point and shoot and go ### ", Shopkeeper END
"This one has 12 glamour retouch effects, if you want to touch up some of your pics of family or friends ### ", Shopkeeper END
thanks for your time have a good afternoon ### , Shopkeeper END
can I ask what sort of pictures you take ### , Shopkeeper END
Yes we do have this nikon camera it's a point and shoot camera just for everyday use ### , Shopkeeper END
"Because it's fully automatic sometimes gets a little bit confused in extreme situations, so if you're in a really dark forest or if you're on top of a snow-covered mountain, there exceptional, so you need to tell that something strange is going on, that will help the automatic mode work in your favor ### ", Shopkeeper END
This camera is very easy to use. Just choose a preset mode and point and shoot ### , Shopkeeper END
Yes it comes in also black red silver pink and purple ### , Shopkeeper END
"the way we have it set up here, it's fully automatic point and shoot, it will make all the decisions for you, you just have to think about the photo of the fun you're having ### ", Shopkeeper END
"this one comes in 5 different color, purple pink black silver and red also it comes in 18 different preset modes ### ", Shopkeeper END
I'm sorry we don't have any information about the resolution ### , Shopkeeper END
"This one has 12 glamour retouch effects such as skin softening and eye enlargement, if you want to touch up your pics or just have some fun ### ", Shopkeeper END
we don't have any information about that ### , Shopkeeper END
thank you ### , Shopkeeper END
this kind of camera over here is fantastic it's like the next step along for using your mobile phone ### , Shopkeeper END
I'm not sure about that ### , Shopkeeper END
this camera is quite stylish it comes in purple pink black silver and red ### , Shopkeeper END
we have this camera in purple pink black silver and red ### , Shopkeeper END
"this does have an optical zoom 5 times, if you zoom in the iPhone it's a digital zoom which just makes a picture smaller but it makes equality worse, here the qualities good through every point of the zoom ### ", Shopkeeper END
thanks a lot for your time have a good afternoon ### , Shopkeeper END
I don't think you should drop it ### , Shopkeeper END
can I ask what sort of pictures you take? ### , Shopkeeper END
"over here we have the semi-pro models, they take great photographs that's a quarter the price but there is some compromise as to how much artistic control you have ### ", Shopkeeper END
the sony performs almost as well as the top end camera ### , Shopkeeper END
thanks for your time have a good afternoon ### , Shopkeeper END
what sort of pictures do you like ### , Shopkeeper END
this one is a mirrorless camera you can set it manually and automatically ### , Shopkeeper END
This camera will enable you to take very high quality images of your pets ### , Shopkeeper END
thank you have good afternoon ### , Shopkeeper END
how can I help you ### , Shopkeeper END
"if we look at the sony a6000 it takes pictures almost as good as a high end professional camera, but with its mirrorless design it's much lighter please pick it up and take some pictures ### ", Shopkeeper END
This one also has full manual settings so you can fine tune for any outdoor conditions  ### , Shopkeeper END
"This one also has 9 preset modes, such as snow mode and jungle mode, so it is good for taking quick pics while outdoors ### ", Shopkeeper END
"This one has 179 autofocus points, enabling you to take pictures of any quickly moving animals you see while taking photos outside ### ", Shopkeeper END
"This one has very good performance, even outdoors ### ", Shopkeeper END
takes beautiful pictures outside so if you got a bit of a trip as well you can get some nice landscapes ### , Shopkeeper END
yes it has 13  artistic effect ### , Shopkeeper END
The ISO can be set up to 3200 ### , Shopkeeper END
"for Facebook it has some modes in there you can tweak the look at the pictures, put some is artistic effects and upload it directly to Facebook through your computer ### ", Shopkeeper END
this is definitely the cheapest camera the Canon over here it's top end professional camera so it's $2000 without a lens ### , Shopkeeper END
I'm not sure what's the sensor size on a point and shoot but I think it's a bit bigger ### , Shopkeeper END
the picture quality is superb you would be able to take pictures and make large posters for your wall you can also show them on high definition televisions ### , Shopkeeper END
thank you for your time have a good afternoon ### , Shopkeeper END
good afternoon how can I help ### , Shopkeeper END
if you need anything else I'll be in the service culture ### , Shopkeeper END
"this has interchangeable lenses so there a lot of options for how you take with macro pictures, if he really wants to zoom in on insects or flowers or flower pots things like that if you want to get creative, choose the right lens use a magnifying filter this camera has those sorts of options ### ", Shopkeeper END
It comes in 3 different colors black silver and white ### , Shopkeeper END
This one has 179 autofocus points ### , Shopkeeper END
it takes up to 30 seconds of exposure ### , Shopkeeper END
can I ask what sort of pictures you take? ### , Shopkeeper END
"Yes this is the best camera we have in our store, basically it has really high iso for nighttime shooting, also you can control the exposure up to 30 seconds and also it has a full frame sensor ### ", Shopkeeper END
This one can take excellect pictures even when the subject is moving. Great for photos of sporting events ### , Shopkeeper END
"the shutter speed goes up to 30 seconds in a standard way, and the iso is 6400 with very little is so you'll protect the evidentiary aspect of the photographs you taking also it has a bulb mode so if you need to take extra long exposures ten minutes, or day or a week, you can do that with this camera ### ", Shopkeeper END
The canon has 61 autofocus points ### , Shopkeeper END
this one takes up to 30 seconds of long exposure but it also has bulb mode ### , Shopkeeper END
The canon has the best image quality of any camera we offer ### , Shopkeeper END
It's a high performance professional camera ### , Shopkeeper END
"With up to 6400 ISO and indefinite exposure time, the canon has excellent low light performance ### ", Shopkeeper END
"then it has what we call a crop sensor, the sensors note for 35 mil film size, it's actually a three quarter size, the pictures are great but some blow up to the size of this wall, but at that size of a huge enlargement, you start to see some of the differences compared to a top end camera ### ", Shopkeeper END
thank you for coming ### , Shopkeeper END
I'm not sure about that ### , Shopkeeper END
"basically it's a top notch DSLR camera, you can control settings manually, it has full frame sensor and it has really good ISO level which is 6400 ### ", Shopkeeper END
It has full manual settings ### , Shopkeeper END
okay thanks love you time ### , Shopkeeper END
please let me know if you need any help ### , Shopkeeper END
"perhaps you'd like this brochure that has specs on the sony, and this one that has specs on the Canon, I'm not saying the Canon is necessary good choice, but it gives you an idea of what's out there something a little interesting reading ### ", Shopkeeper END
"Sensor size is the size of the computer chip in the back of the camera that picks up the image from the lens, so the bigger the sensor, the bigger the area the better quality the picture, it has a three-quarter sensor which its old fashioned measurement, it's quite large, it's about five times six times each dimension compared to your old mobile phone ### ", Shopkeeper END
I'm sorry we don't have any information about the resolution ### , Shopkeeper END
"It's very lightweight, it weighs only 120 grams ### ", Shopkeeper END
thanks for your time please have a good afternoon ### , Shopkeeper END
good afternoon how can I help ### , Shopkeeper END
"This is the nikon, it's ideal for taking simple everyday photos ### ", Shopkeeper END
I'm sorry we don't have any information about the resolution ### , Shopkeeper END
it has a 20 megapixel sensor so the pictures come out of a good resolution and you can make some nice enlargements ### , Shopkeeper END
This one will take very high quality photos in everyday situations ### , Shopkeeper END
"This one is a point and shoot camera, our most popular option for people taking casual everyday photos ### ", Shopkeeper END
"This one has 12 glamour retouch effects such as skin softening and eye enlargement, if you want to touch up your pics or just have some fun ### ", Shopkeeper END
I'm not sure about that we don't have any information ### , Shopkeeper END
"there's a few preset modes too here, so if you are in different environments you can squeeze a extra performance out of a good, mostly for people that just point and shoot ### ", Shopkeeper END
purple pink black silver and red ### , Shopkeeper END
yes it comes in 5 colors it's available black red this silver white and pink ### , Shopkeeper END
"this is the Sony a6000 and you have full manual control and an excellent quality sensor great AutoFocus Features and you can take fantastic photographs for enlargement, but it's also designed around the idea that you are going to uses these photos that you're going to put them in Facebook, share them with friends, do some prints and maybe post up to Flickr as well ### ", Shopkeeper END
It comes in 3 different colors white silver and black ### , Shopkeeper END
you can see already it's only about half a kilo in weight with the lens only ### , Shopkeeper END
"With the preset modes this one is every easy to use, suitable for casual everyday photos ### ", Shopkeeper END
"This is a great camera, it's a lot of manual settings, but you can also use it on full automatic, so the idea of the preset modes is if you're in extreme environment something different or doing something special, like a portrait, you can tell the camera that and it will automatically choose the best settings for that situation ### ", Shopkeeper END
"this has interchangeable lenses so there a lot of options for how you take with macro pictures, if he really wants to zoom in on insects or flowers or flower pots things like that if you want to get creative, choose the right lens use a magnifying filter this camera has those sorts of options ### ", Shopkeeper END
this can also be set to point and shoot mode that can be fully automatic ### , Shopkeeper END
no you can't ### , Shopkeeper END
"it's a different idea to the DSLR, so with the DSLR contains a lot of mechanism around the internal glass with a pint of prism and a mirror this does away with all of that so pick it up and feel how light it is ### ", Shopkeeper END
okay thanks for your time we will organise that and have a good afternoon ### , Shopkeeper END
this is a full size CMOS sensor can I just ask will this be a camera you will be buying personally or will the magazine be helping you ### , Shopkeeper END
I'm not sure about that we don't have any information ### , Shopkeeper END
this is $2000 for the camera body only ### , Shopkeeper END
Yes it can be exposed up to 30 seconds end if you want it also have bulb mode ### , Shopkeeper END
no it doesn't so if you're not familiar unfortunately you have to control everything manual ### , Shopkeeper END
the ISO is like 6400 with very little noise ### , Shopkeeper END
yes this one is a point and shoot camera perfect for beginner users and it has 18 preset modes ### , Shopkeeper END
you can see it's only 120 grams ### , Shopkeeper END
We have it in black white red purple and the silver ### , Shopkeeper END
thank you ### , Shopkeeper END
good afternoon how can I help ### , Shopkeeper END
can I ask what sort of pictures you like to take ### , Shopkeeper END
this kind of camera over here is fantastic it's like the next step along for using your mobile phone ### , Shopkeeper END
"This one has 12 glamour retouch effects such as skin softening and eye enlargement, if you want to touch up your pics or just have some fun ### ", Shopkeeper END
It's a simple point and shoot camera ### , Shopkeeper END
20 megapixels so you can make quite large enlargement ### , Shopkeeper END
the picture quality from this camera is excellent option for most photos it is as good as the top-end camera ### , Shopkeeper END
I'm not sure about that ### , Shopkeeper END
